epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9838.12,0.85142,0.5475,1.24106,0.99278,0.99442,0.99393,0.86576,0.7589,0.3436,1.12675,0.00029705,0.00029705,0.00029705
43,10072.6,0.84656,0.545,1.23931,0.99489,0.99289,0.99423,0.86977,0.75651,0.34203,1.11618,0.0002921,0.0002921,0.0002921
44,10306.9,0.84138,0.54782,1.23884,0.99554,0.99277,0.99411,0.87173,0.74818,0.33329,1.10898,0.00028715,0.00028715,0.00028715
45,10541.3,0.8389,0.54249,1.23698,0.99538,0.99488,0.99432,0.87127,0.75015,0.33193,1.11115,0.0002822,0.0002822,0.0002822
46,10777.3,0.83199,0.53735,1.22871,0.99499,0.99569,0.99437,0.87515,0.74021,0.32974,1.10093,0.00027725,0.00027725,0.00027725
47,11014.8,0.83112,0.53166,1.23279,0.99507,0.9954,0.9944,0.87468,0.73705,0.33123,1.1016,0.0002723,0.0002723,0.0002723
48,11251.1,0.82651,0.53392,1.22691,0.99534,0.99506,0.99408,0.87681,0.73112,0.32736,1.09494,0.00026735,0.00026735,0.00026735
49,11487.7,0.8146,0.52516,1.2248,0.99642,0.9951,0.99415,0.879,0.72375,0.321,1.08743,0.0002624,0.0002624,0.0002624
50,11722.6,0.81753,0.52762,1.21854,0.99672,0.99551,0.99415,0.88037,0.72438,0.32349,1.08514,0.00025745,0.00025745,0.00025745
51,11957.2,0.81731,0.52992,1.22436,0.99608,0.99611,0.9943,0.87908,0.7269,0.32142,1.09157,0.0002525,0.0002525,0.0002525
52,12191.5,0.81341,0.52147,1.21629,0.9956,0.99527,0.99421,0.8808,0.71574,0.31557,1.0813,0.00024755,0.00024755,0.00024755
53,12442.4,0.8051,0.51611,1.21228,0.99498,0.9968,0.99453,0.88478,0.71148,0.31201,1.07836,0.0002426,0.0002426,0.0002426
54,12696.9,0.80048,0.51478,1.20881,0.99659,0.99597,0.99432,0.88839,0.70094,0.31145,1.06683,0.00023765,0.00023765,0.00023765
55,12954,0.80026,0.5077,1.20545,0.99678,0.99687,0.99466,0.8869,0.69988,0.31087,1.06677,0.0002327,0.0002327,0.0002327
56,13212.3,0.80213,0.51088,1.20594,0.99592,0.99587,0.99428,0.88699,0.69776,0.30851,1.06573,0.00022775,0.00022775,0.00022775
57,13465,0.8007,0.50957,1.20845,0.99618,0.99624,0.99431,0.88735,0.6944,0.30595,1.06087,0.0002228,0.0002228,0.0002228
58,13710,0.79164,0.50277,1.20332,0.99703,0.99676,0.99458,0.89187,0.68712,0.3059,1.0537,0.00021785,0.00021785,0.00021785
59,13954.1,0.7864,0.49452,1.19887,0.99636,0.99709,0.99461,0.89031,0.68818,0.30678,1.0581,0.0002129,0.0002129,0.0002129
60,14193.2,0.78507,0.49887,1.19387,0.99632,0.99687,0.99453,0.89208,0.68032,0.30179,1.04989,0.00020795,0.00020795,0.00020795
61,14431.4,0.79135,0.49538,1.19952,0.99743,0.99727,0.99432,0.89401,0.67832,0.29942,1.04553,0.000203,0.000203,0.000203
62,14666,0.77542,0.48517,1.18886,0.99731,0.99666,0.99485,0.89555,0.67734,0.2987,1.04413,0.00019805,0.00019805,0.00019805
63,14906.5,0.77983,0.48852,1.19319,0.99718,0.99799,0.99481,0.89351,0.67677,0.29828,1.04579,0.0001931,0.0001931,0.0001931
64,15141.9,0.77666,0.48443,1.18883,0.99652,0.99854,0.99497,0.89349,0.67458,0.29921,1.04371,0.00018815,0.00018815,0.00018815
65,15376.6,0.76494,0.47842,1.18194,0.99697,0.99829,0.99497,0.89678,0.66938,0.29693,1.03867,0.0001832,0.0001832,0.0001832
66,15617.4,0.7659,0.47788,1.18658,0.99806,0.99776,0.99497,0.90008,0.66043,0.29393,1.03229,0.00017825,0.00017825,0.00017825
67,15861.1,0.76442,0.47441,1.18294,0.99735,0.9972,0.99488,0.89977,0.65961,0.29466,1.03134,0.0001733,0.0001733,0.0001733
68,16105.4,0.75839,0.47759,1.17973,0.99746,0.99768,0.99498,0.89864,0.65866,0.2915,1.02823,0.00016835,0.00016835,0.00016835
69,16348.4,0.75153,0.47119,1.17714,0.99784,0.99735,0.99498,0.90152,0.65077,0.28967,1.02142,0.0001634,0.0001634,0.0001634
70,16589.6,0.75854,0.47115,1.17748,0.99844,0.99768,0.99498,0.89984,0.6494,0.28914,1.02223,0.00015845,0.00015845,0.00015845
71,16831.5,0.75136,0.46619,1.17342,0.99799,0.99783,0.99498,0.90181,0.6452,0.28612,1.01783,0.0001535,0.0001535,0.0001535
72,17070.3,0.75056,0.46235,1.17427,0.99789,0.99797,0.99498,0.90252,0.64427,0.28598,1.0171,0.00014855,0.00014855,0.00014855
73,17308.5,0.73817,0.46005,1.16698,0.99787,0.99812,0.99498,0.90307,0.64252,0.2862,1.0155,0.0001436,0.0001436,0.0001436
74,17548.6,0.73679,0.44852,1.16599,0.99784,0.99817,0.99498,0.90306,0.63957,0.28463,1.01175,0.00013865,0.00013865,0.00013865
75,17789,0.7319,0.45067,1.16291,0.99772,0.99838,0.99498,0.90363,0.63684,0.28267,1.00901,0.0001337,0.0001337,0.0001337
76,18028.2,0.72721,0.44763,1.1588,0.99779,0.99789,0.99498,0.90552,0.63264,0.28098,1.00548,0.00012875,0.00012875,0.00012875
77,18278.8,0.73182,0.44812,1.16196,0.99813,0.99814,0.99498,0.90604,0.63121,0.28034,1.00352,0.0001238,0.0001238,0.0001238
78,18528.5,0.71903,0.4447,1.15335,0.99795,0.99842,0.99498,0.90605,0.63056,0.2797,1.00295,0.00011885,0.00011885,0.00011885
79,18776.2,0.72309,0.44337,1.15432,0.99806,0.99843,0.99498,0.90675,0.62958,0.27904,1.00216,0.0001139,0.0001139,0.0001139
80,19021.9,0.72198,0.44199,1.15302,0.99849,0.9985,0.99499,0.90619,0.62876,0.27849,1.00154,0.00010895,0.00010895,0.00010895
81,19268.2,0.72085,0.44188,1.15497,0.99831,0.99818,0.99499,0.90745,0.62735,0.27873,1.00071,0.000104,0.000104,0.000104
82,19508.7,0.71387,0.43586,1.14407,0.99827,0.9983,0.99499,0.90838,0.62508,0.27912,0.99825,9.905e-05,9.905e-05,9.905e-05
83,19750.3,0.70885,0.4303,1.14674,0.99812,0.99839,0.99499,0.90877,0.62275,0.27815,0.99593,9.41e-05,9.41e-05,9.41e-05
84,19993.7,0.70659,0.4283,1.14711,0.99816,0.99831,0.99499,0.90956,0.62068,0.27683,0.99392,8.915e-05,8.915e-05,8.915e-05
85,20232.8,0.70273,0.4318,1.14226,0.99814,0.99813,0.99498,0.90882,0.61912,0.27596,0.99293,8.42e-05,8.42e-05,8.42e-05
86,20474.8,0.70517,0.42553,1.14129,0.99857,0.99796,0.99498,0.90946,0.61738,0.27486,0.99154,7.925e-05,7.925e-05,7.925e-05
87,20716.4,0.7014,0.42478,1.14025,0.99859,0.99806,0.99498,0.91065,0.61511,0.27418,0.98944,7.43e-05,7.43e-05,7.43e-05
88,20961.2,0.70057,0.42457,1.13875,0.99838,0.99832,0.99498,0.91151,0.61239,0.27343,0.98693,6.935e-05,6.935e-05,6.935e-05
89,21206.5,0.69704,0.41929,1.13188,0.99836,0.99827,0.99498,0.91215,0.61052,0.27265,0.98555,6.44e-05,6.44e-05,6.44e-05
90,21447.7,0.6892,0.41356,1.13346,0.99835,0.99827,0.99498,0.91287,0.60878,0.2719,0.98411,5.945e-05,5.945e-05,5.945e-05
91,21688.1,0.63267,0.28274,1.11017,0.99842,0.9983,0.99498,0.91371,0.60591,0.27074,0.98144,5.45e-05,5.45e-05,5.45e-05
92,21921.9,0.61035,0.27178,1.09098,0.99844,0.99847,0.99498,0.91487,0.6032,0.26962,0.97905,4.955e-05,4.955e-05,4.955e-05
93,22157.8,0.60601,0.26794,1.08807,0.99846,0.99855,0.99498,0.91509,0.60068,0.26863,0.97665,4.46e-05,4.46e-05,4.46e-05
94,22394.5,0.59881,0.26634,1.08396,0.9984,0.99859,0.99498,0.91645,0.59843,0.26772,0.97454,3.965e-05,3.965e-05,3.965e-05
95,22631.6,0.59603,0.26308,1.08084,0.99864,0.99838,0.99498,0.91703,0.59609,0.26686,0.97216,3.47e-05,3.47e-05,3.47e-05
96,22869.9,0.58829,0.25929,1.07231,0.9989,0.99831,0.99498,0.91797,0.59377,0.266,0.96987,2.975e-05,2.975e-05,2.975e-05
97,23108.9,0.58635,0.25754,1.07359,0.99873,0.99849,0.99498,0.91889,0.59138,0.26502,0.96757,2.48e-05,2.48e-05,2.48e-05
98,23343.9,0.57842,0.25268,1.07036,0.99843,0.99849,0.99498,0.91966,0.5896,0.26449,0.96593,1.985e-05,1.985e-05,1.985e-05
99,23581.3,0.58229,0.2535,1.06973,0.99843,0.9987,0.99498,0.91999,0.58816,0.26398,0.96461,1.49e-05,1.49e-05,1.49e-05
100,23817.3,0.57473,0.25052,1.06712,0.99842,0.99885,0.99498,0.92053,0.58688,0.2634,0.96328,9.95e-06,9.95e-06,9.95e-06
