epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7662.42,0.90686,0.63046,1.26002,0.93959,0.95948,0.97171,0.81128,0.83153,0.43489,1.20718,0.00029705,0.00029705,0.00029705
43,7844.71,0.90223,0.6247,1.26031,0.92899,0.9472,0.9622,0.80291,0.83144,0.45911,1.20647,0.0002921,0.0002921,0.0002921
44,8025.53,0.90643,0.62075,1.25878,0.96645,0.90737,0.95986,0.80259,0.8354,0.45318,1.21242,0.00028715,0.00028715,0.00028715
45,8209.05,0.89608,0.61399,1.25423,0.96796,0.91143,0.95317,0.80346,0.82279,0.45271,1.20398,0.0002822,0.0002822,0.0002822
46,8393.3,0.90452,0.61632,1.25204,0.96292,0.90758,0.95393,0.80645,0.81475,0.45544,1.19165,0.00027725,0.00027725,0.00027725
47,8576.64,0.88356,0.60973,1.24071,0.94012,0.94726,0.96639,0.81069,0.82807,0.44694,1.20292,0.0002723,0.0002723,0.0002723
48,8760.26,0.88523,0.60167,1.2423,0.95591,0.91491,0.95257,0.79681,0.83245,0.45563,1.21069,0.00026735,0.00026735,0.00026735
49,8944.49,0.87966,0.59751,1.23415,0.9725,0.91682,0.96439,0.80854,0.81934,0.42898,1.19624,0.0002624,0.0002624,0.0002624
50,9131.05,0.878,0.59461,1.23865,0.9536,0.92559,0.96159,0.81103,0.81678,0.44066,1.19747,0.00025745,0.00025745,0.00025745
51,9313.58,0.86733,0.58563,1.22476,0.95091,0.92716,0.96038,0.81266,0.81885,0.44192,1.19718,0.0002525,0.0002525,0.0002525
52,9496.3,0.88125,0.59897,1.23368,0.9489,0.9289,0.95954,0.8132,0.81265,0.44742,1.19285,0.00024755,0.00024755,0.00024755
53,9675.6,0.87369,0.59055,1.23561,0.93907,0.93119,0.95686,0.81126,0.81314,0.44375,1.19154,0.0002426,0.0002426,0.0002426
